Test case,Status
usc130_a8_androiddm_version_20200422_132846,Pass
usc130_a8_audio_speaker_20200422_132755,Pass
usc130_a8_backlight_20200422_132802,Pass
usc130_a8_bluetooth_20200422_132814,Pass
usc130_a8_boot_animation_check_20200422_132847,Fail
usc130_a8_camera_20200422_132820,Fail
usc130_a8_comtest_20200422_132821,Fail
usc130_a8_gpio_key_20200422_132836,Pass
usc130_a8_rfid_20200422_132837,Fail
usc130_a8_rtc_20200422_132838,Pass
usc130_a8_storage_emmc_20200422_132832,Pass
usc130_a8_system_customization_20200422_132848,Pass
usc130_a8_systeminformation_20200422_132843,Fail
usc130_a8_usbdisk_sdcard_20200422_132844,Pass
 , 
Total,14
Pass,9
Fail,5
Exception,0
