Test case,Status
usc_130_160_androiddm_version_20200528_102202,Pass
usc_130_160_audio_speaker_20200528_102120,Pass
usc_130_160_backlight_20200528_102127,Pass
usc_130_160_bluetooth_20200528_102140,Pass
usc_130_160_boot_animation_check_20200528_102203,Pass
usc_130_160_boot_info_20200528_102553,Pass
usc_130_160_camera_20200528_102144,Fail
usc_130_160_comtest_20200528_102145,Pass
usc_130_160_comtest_burn_20200528_102550,Pass
usc_130_160_cpu_burn_20200528_102253,Pass
usc_130_160_cpu_info_20200528_102435,Pass
usc_130_160_cpu_wifi_iperf_20200528_102359,Pass
usc_130_160_display_info_20200528_102554,Pass
usc_130_160_emmc_20200528_102146,Pass
usc_130_160_emmc_burn_20200528_102524,Pass
usc_130_160_emmc_info_20200528_102457,Pass
usc_130_160_eth_iperf_20200528_102229,Pass
usc_130_160_eth_ping_20200528_102536,Pass
usc_130_160_gpio_key_20200528_102150,Pass
usc_130_160_gpio_test_20200528_102551,Pass
usc_130_160_mem_burn_20200528_102327,Pass
usc_130_160_mem_info_20200528_102456,Pass
usc_130_160_rfid_20200528_102151,Fail
usc_130_160_rtc_20200528_102152,Pass
usc_130_160_sd_info_20200528_102458,Fail
usc_130_160_system_customization_20200528_102204,Pass
usc_130_160_systeminformation_20200528_102157,Fail
usc_130_160_usb_info_20200528_102459,Fail
usc_130_160_usb_otg_info_20200528_102500,Fail
usc_130_160_usbdisk_sdcard_20200528_102159,Pass
usc_130_160_usbdisk_sdcard_burn_20200528_102501,Pass
usc_130_160_video_fps_20200528_102423,Pass
usc_130_160_wifi_iperf_20200528_102205,Pass
 , 
Total,33
Pass,27
Fail,6
Exception,0
