Test case,Status
usc_130_160_androiddm_version_20200522_163545,Pass
usc_130_160_audio_speaker_20200522_163451,Pass
usc_130_160_backlight_20200522_163458,Pass
usc_130_160_bluetooth_20200522_163511,Pass
usc_130_160_boot_animation_check_20200522_163546,Pass
usc_130_160_camera_20200522_163515,Pass
usc_130_160_comtest_20200522_163516,Fail
usc_130_160_cpu_burn_20200522_163637,Pass
usc_130_160_cpu_info_20200522_163818,Pass
usc_130_160_cpu_wifi_iperf_20200522_163743,Pass
usc_130_160_emmc_20200522_163527,Pass
usc_130_160_emmc_burn_20200522_163930,Pass
usc_130_160_emmc_info_20200522_163840,Pass
usc_130_160_eth_iperf_20200522_163613,Pass
usc_130_160_eth_ping_20200522_163941,Pass
usc_130_160_gpio_key_20200522_163531,Pass
usc_130_160_mem_burn_20200522_163711,Pass
usc_130_160_mem_info_20200522_163839,Pass
usc_130_160_rfid_20200522_163532,Pass
usc_130_160_rtc_20200522_163533,Pass
usc_130_160_sd_info_20200522_163841,Pass
usc_130_160_system_customization_20200522_163547,Pass
usc_130_160_systeminformation_20200522_163538,Pass
usc_130_160_usb_info_20200522_163843,Pass
usc_130_160_usb_otg_info_20200522_163844,Pass
usc_130_160_usbdisk_sdcard_20200522_163540,Pass
usc_130_160_usbdisk_sdcard_burn_20200522_163845,Pass
usc_130_160_video_fps_20200522_163807,Pass
usc_130_160_wifi_iperf_20200522_163548,Pass
 , 
Total,29
Pass,28
Fail,1
Exception,0
