Test case,Status
usc_130_160_4k_test_20200612_163034,Pass
usc_130_160_androiddm_version_20200612_162302,Pass
usc_130_160_audio_speaker_20200612_162151,Pass
usc_130_160_backlight_20200612_162159,Pass
usc_130_160_bluetooth_20200612_162213,Pass
usc_130_160_boot_animation_check_20200612_162305,Pass
usc_130_160_boot_info_20200612_163002,Pass
usc_130_160_camera_20200612_162218,Pass
usc_130_160_comtest_20200612_162221,Fail
usc_130_160_comtest_burn_20200612_162813,Fail
usc_130_160_cpu_burn_20200612_162403,Pass
usc_130_160_cpu_info_20200612_162618,Pass
usc_130_160_cpu_wifi_iperf_20200612_162539,Pass
usc_130_160_display_info_20200612_163005,Pass
usc_130_160_display_test_20200612_163009,Pass
usc_130_160_emmc_20200612_162234,Pass
usc_130_160_emmc_burn_20200612_162744,Pass
usc_130_160_emmc_info_20200612_162642,Pass
usc_130_160_eth_iperf_20200612_162337,Pass
usc_130_160_eth_ping_20200612_162757,Pass
usc_130_160_gpio_key_20200612_162240,Pass
usc_130_160_gpio_test_20200612_162958,Pass
usc_130_160_mem_burn_20200612_162505,Pass
usc_130_160_mem_info_20200612_162640,Pass
usc_130_160_rfid_20200612_162243,Pass
usc_130_160_rtc_20200612_162246,Pass
usc_130_160_sd_info_20200612_162645,Pass
usc_130_160_system_customization_20200612_162307,Pass
usc_130_160_systeminformation_20200612_162252,Pass
usc_130_160_usb_info_20200612_162648,Pass
usc_130_160_usb_otg_info_20200612_162650,Pass
usc_130_160_usbdisk_sdcard_20200612_162255,Pass
usc_130_160_usbdisk_sdcard_burn_20200612_162653,Pass
usc_130_160_video_fps_20200612_162604,Pass
usc_130_160_wifi_iperf_20200612_162310,Pass
usc130_a8_wifi_iperf_py_20200612_163122,Pass
usc130_a8_eth_iperf_py_20200612_163201,Pass
 , 
Total,37
Pass,35
Fail,2
Exception,0
