Test case,Status
usc130_a8_androiddm_version_20200508_110609,Pass
usc130_a8_audio_speaker_20200508_110517,Pass
usc130_a8_backlight_20200508_110524,Pass
usc130_a8_bluetooth_20200508_110537,Pass
usc130_a8_boot_animation_check_20200508_110610,Fail
usc130_a8_camera_20200508_110542,Fail
usc130_a8_comtest_20200508_110543,Fail
usc130_a8_gpio_key_20200508_110558,Pass
usc130_a8_rfid_20200508_110559,Fail
usc130_a8_rtc_20200508_110600,Pass
usc130_a8_storage_emmc_20200508_110554,Pass
usc130_a8_system_customization_20200508_110611,Pass
usc130_a8_systeminformation_20200508_110605,Fail
usc130_a8_usbdisk_sdcard_20200508_110607,Pass
usc_130_160_cpu_burn_20200508_110700,Pass
usc_130_160_eth_iperf_20200508_110636,Pass
usc_130_160_mem_burn_20200508_110734,Pass
usc_130_160_wifi_iperf_20200508_110612,Pass
 , 
Total,18
Pass,13
Fail,5
Exception,0
